NODE_KEY,PRODUCT_ID,TYPE_CODE,CATEGORY,SUPPLIER_GUID_NODE_KEY,TAX_TARIF_CODE,MEASURE_UNIT,WEIGHT_MEASURE,WEIGHT_UNIT,CURRENCY_CODE,PRICE,WIDTH,DEPTH,HEIGHT,DIM_UNIT,DESCRIPTION
D0000000000000000000000000000001,PROD-2001,PR,Notebooks,B0000000000000000000000000000001,1,EA,2.1,KG,JPY,148000,30,20,3,CM,Notebook 15 Pro
D0000000000000000000000000000002,PROD-2002,PR,Monitors,B0000000000000000000000000000002,1,EA,5.0,KG,GBP,320,30,20,3,CM,27in 4K Monitor
D0000000000000000000000000000003,PROD-2003,PR,Keyboards,B0000000000000000000000000000003,1,EA,0.8,KG,EUR,99,30,20,3,CM,Mechanical Keyboard
D0000000000000000000000000000004,PROD-2004,PR,Accessories,B0000000000000000000000000000004,1,EA,0.3,KG,INR,2499,30,20,3,CM,Wireless Mouse
D0000000000000000000000000000005,PROD-2005,PR,Storage,B0000000000000000000000000000005,1,EA,0.1,KG,CNY,699,30,20,3,CM,1TB NVMe SSD
D0000000000000000000000000000006,PROD-2006,PR,Networking,B0000000000000000000000000000006,1,EA,1.2,KG,AUD,459,30,20,3,CM,Wi-Fi 6 Router
D0000000000000000000000000000007,PROD-2007,PR,Notebooks,B0000000000000000000000000000007,1,EA,1.9,KG,USD,1299,30,20,3,CM,Business Laptop 14
D0000000000000000000000000000008,PROD-2008,PR,Printers,B0000000000000000000000000000008,1,EA,8.5,KG,CAD,549,30,20,3,CM,Color Laser Printer
D0000000000000000000000000000009,PROD-2009,PR,Tablets,B0000000000000000000000000000001,1,EA,0.5,KG,JPY,148000,30,20,3,CM,Tablet 11
D0000000000000000000000000000010,PROD-2010,PR,Monitors,B0000000000000000000000000000002,1,EA,6.2,KG,GBP,320,30,20,3,CM,32in UltraWide
D0000000000000000000000000000011,PROD-2011,PR,Accessories,B0000000000000000000000000000003,1,EA,0.4,KG,EUR,99,30,20,3,CM,USB-C Dock
D0000000000000000000000000000012,PROD-2012,PR,Networking,B0000000000000000000000000000004,1,EA,0.6,KG,INR,2499,30,20,3,CM,Mesh Wi-Fi Node
D0000000000000000000000000000013,PROD-2013,PR,Servers,B0000000000000000000000000000009,1,EA,2.0,KG,USD,1299,30,20,3,CM,Rackmount Server R1 (Liberty Microsystems)
D0000000000000000000000000000014,PROD-2014,PR,Notebooks,B0000000000000000000000000000010,1,EA,2.0,KG,USD,1299,30,20,3,CM,Workstation Pro (Pacific Computing Inc)
D0000000000000000000000000000015,PROD-2015,PR,Networking,B0000000000000000000000000000011,1,EA,2.0,KG,USD,1299,30,20,3,CM,Industrial Switch 24p (Lone Star Electronics)
D0000000000000000000000000000016,PROD-2016,PR,Storage,B0000000000000000000000000000012,1,EA,2.0,KG,USD,1299,30,20,3,CM,Backup Appliance (Great Lakes Tech)
D0000000000000000000000000000017,PROD-2017,PR,Accessories,B0000000000000000000000000000013,1,EA,2.0,KG,INR,2499,30,20,3,CM,POS Terminal (Chennai Systems Ltd)
D0000000000000000000000000000018,PROD-2018,PR,Networking,B0000000000000000000000000000014,1,EA,2.0,KG,INR,2499,30,20,3,CM,Edge Gateway (Bengaluru Microtech)
D0000000000000000000000000000019,PROD-2019,PR,Accessories,B0000000000000000000000000000015,1,EA,2.0,KG,INR,2499,30,20,3,CM,Thin Client (Delhi Components Pvt)
